"Số 3 Đường 3/2 Phường 11, Quận 10, TPHCM","Hồ Chí Minh","Hồ Chí Minh","Quận 10"
"Số 3, đường 3/2 phường 11, Quận 10, Tp. HCM","Hồ Chí Minh","Hồ Chí Minh","Quận 10"
"105A Hùng Vương, Phường Phú Hội, Thành Phố Huế, Tỉnh Thừa Thiên Huế","Thừa Thiên Huế","Huế",""
"95 Huỳnh Đình Hoà, P14, Q Bình Thạnh","Hồ Chí Minh","Hồ Chí Minh","Quận Bình Thạnh"
"163 Phan Đình Phùng, P.2, TP. Đà Lạt","Lâm Đồng","Đà Lạt",""
"48/17 Lê Đức Thọ, Gó Vấp","Hồ Chí Minh","Hồ Chí Minh","Quận Gò Vấp"
"1111/6 Cách Mạng T8, F7, Tân Bình","Hồ Chí Minh","Hồ Chí Minh","Quận Tân Bình"
"230 Nguyễn Văn Trỗi, ấp Đông Sơn 2, TT Núi Sập, H. Thoại Sơn, An Giang","An Giang","",""
"194 Trần Văn Dư, P13, Tân Bình","Hồ Chí Minh","Hồ Chí Minh","Quận Tân Bình"
"101 Nguyễn Văn Trổi,  P.10, Phú Nhuận","Hồ Chí Minh","Hồ Chí Minh","Quận Phú Nhuận"
"132 Võ Thành Trang, P.11, Q.Tân Bình","Hồ Chí Minh","Hồ Chí Minh","Quận Tân Bình"
"91/2A, Nguyễn Khoái, Quận 4","Hồ Chí Minh","Hồ Chí Minh","Quận 4"
"12 Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhận, Thành phố Hồ Chí Minh","Hồ Chí Minh","Hồ Chí Minh",""
"4/1 Hoàng Diệu , P.10, Phú Nhuận","Hồ Chí Minh","Hồ Chí Minh","Quận Phú Nhuận"
"91 Tôn Thất Hipệ, P.13, Q.11","Hồ Chí Minh","Hồ Chí Minh","Quận 11"
"Số 10 Nguyễn Tri Phương Q5","Hồ Chí Minh","Hồ Chí Minh","Quận 5"
"","","",""
"","","",""
"345/134 Trần Hưng Đạo, P. Cầu kho, Q.1 Lầu 3","Hồ Chí Minh","Hồ Chí Minh","Quận 1"
" 229 Mã Lò, Bình Trị Đông , Bình Tân","Hồ Chí Minh","Hồ Chí Minh","Quận Bình Tân"
"362 Hai Bà Trưng, P Tân Định, Q1, TP HCM","Hồ Chí Minh","Hồ Chí Minh","Quận 1"
"213 Bạch Đằng, Bình Thạnh","Hồ Chí Minh","Hồ Chí Minh","Quận Bình Thạnh"
"173/128 Khuôn Việt,P.Phú Trung,Quận Tân Phú ( gần đầm sen )","Hồ Chí Minh","Hồ Chí Minh","Quận Tân Phú"
"8/114 đường Năm Châu, Tân Bình","Hồ Chí Minh","Hồ Chí Minh","Quận Tân Bình"
"788 Nguyển Đình Chiểu, P.2, Q3","Hồ Chí Minh","Hồ Chí Minh","Quận 3"
"","","",""
"3915 Đường số 6 F Ninh Tây, Thủ Đức","Hồ Chí Minh","Hồ Chí Minh","Quận Thủ Đức"
"Vũng Tàu","Bà Rịa - Vũng Tàu","Vũng Tàu",""
"284/15/5 Lê Văn Sĩ, P.14, Q.3","Hồ Chí Minh","Hồ Chí Minh","Quận 3"
"196/48B Dương Quảng Hàm, P6, Q GV","Hồ Chí Minh","Hồ Chí Minh","Quận Gò Vấp"
"54/23 Bạch Đằng, P.2, Tân Bình","Hồ Chí Minh","Hồ Chí Minh","Quận Tân Bình"
"42/2 Hồ Hảo Hớn , P Cô Giang Q1","Hồ Chí Minh","Hồ Chí Minh","Quận 1"
